name,type
Moocarna,Black
Ballebah,Black
Jamahcah,Black
Lokoday,Black
Ubadi,Black
Odobahday,Black
Injarkoo,Black
Owoedenjaw,Black
Adan,Black
Mearlah,Black
Ahwoh,Black
Inan,Black
Arjojue,Black
Ahwonnah,Black
Usana,Black
Zoko,Black
Zincar,Black
Noowa,Black
Apa,Black
Ahlowo,Black
Dahsong,Black
Dawsora,Black
Huko,Black
Aryashoolah,Black
Arjocobee,Black
Imbacop,Black
Naquri,Black
Eli,Black
Dondoko,Black
Ineec,Black
Panvu,Black
Wazebaquay,Black
Coutela,Black
Aggublee,Black
Dick Gore,Black
Dapurra,Black
Yomas,Black
Olumardgoo,Black
Flaro,Black
Dahloo,Black
Dembalah,Black
Ahlahsee,Black
Tackori,Black
Atokay,Black
Macoroomboo,Black
Moocamby,Black
Coweh,Black
Umbeh,Black
Ajahdallay,Black
Chittam,Black
Tumani,Black
Mahjahdomee,Black
Adinnah,Black
Asheat,Black
Lawachee,Black
Schonday,Black
Ochabbee,Black
Amodain,Black
Ahgorsae,Black
Farbayme,Black
Monnckahyah,Black
Rubambarra,Black
Bacoomy,Black
Alobran,Black
Behleh,Black
Oboneby,Black
Marimee,Black
Cuesi,Black
Maroro,Black
Oracai,Black
Shamcoe,Black
Insahdeko,Black
Abojoko,Black
Jemou,Black
Apu,Black
Chadari,Black
Inbonock,Black
Ajukoo,Black
Penda,Black
Olomeyoh,Black
Olloronla,Black
Emo,Black
Ellu,Black
Parba,Black
Penzoo,Black
Wainsack,Black
Adieu,Black
Cotee,Black
Bonneber,Black
Boehevee,Black
Oboshee,Black
Abbache,Black
Ahneahnahtay,Black
Herodaywefay,Black
Lahfayes,Black
Oluferung,Black
Coongana,Black
Yoan,Black
Eboal,Black
Marchuabee,Black
Orshororjah,Black
Ahtome,Black
Ogodaye,Black
Akeah,Black
Show,Black
Ahgoobochah,Black
Songoh,Black
Jehmansah,Black
Mambow,Black
Fahgondo,Black
Garrowasah,Black
Bongoloo,Black
Guibah,Black
Yeameobee,Black
Huhongoh,Black
Goo,Black
Carinoloo,Black
Fartah,Black
Dupey,Black
Matome,Black
Desebah,Black
Aliaja,Black
Chegaway,Black
Ahtommahyea,Black
One-a-day,Black
Ahquobamah,Black
Mannahgo,Black
Argedarbar,Black
Asekahmameah,Black
Jare,Black
Basomboo,Black
Lallay,Black
Bannahqui,Black
Mannems,Black
